,red,yellow,green,blue
0,1321.9068920327331,2322.6919180917084,1935.9474128696118,716.1949966595499
1,1326.0883712531302,2479.057915159225,2077.9587574468082,736.2322238729553
2,1338.9560822145336,2631.0617871012223,2208.584731815426,751.3121207884848
3,1381.5374796056394,2816.7308664625493,2375.0760765352506,793.1766100785285
4,1426.9639390902257,3002.292740771169,2534.0189871982443,824.8301613756297
5,1497.5401262471382,3215.2088424365706,2721.772340457583,881.6711154621831
6,1570.2778472086306,3417.887187443461,2891.2798469424947,922.1076047556683
7,1656.9114380280366,3651.735856160847,3099.548222633917,987.3539663635688
8,1742.3813618385907,3871.757235011429,3283.7419922594895,1034.3618603102414
9,1839.7779064933022,4111.119115001404,3493.272559164382,1101.3922672340425
10,1944.6161109960378,4361.132400889553,3706.0567148463033,1173.162157522832
11,2044.4636938284948,4604.233557738993,3919.953319097471,1258.667845890283
12,2152.830229870802,4862.136433648391,4143.078101914711,1358.4769725304254
13,2250.9737604618676,5108.339694013001,4356.861855219003,1468.5356683038772
14,2363.400333259454,5376.953438874886,4590.0577278249075,1605.8040560353347
15,2464.511412371728,5627.126885328456,4806.483931883541,1740.4694047617786
16,2563.931898227416,5874.273752726813,5022.910136400776,1879.2578961519778
17,2663.410978939906,6121.712296770505,5235.718158697415,2001.164736141146
18,2758.271412765957,6362.556873960105,5448.140757242831,2115.4576904832165
19,2847.822638398567,6586.706421010106,5640.395130281377,2198.8648697872336
20,2942.28288517649,6821.887609499553,5848.123117628424,2285.5422129722556
21,3026.7688338869893,7033.2463661943275,6029.206113734189,2348.040173490483
22,3104.3617547461313,7241.2590906020805,6220.071114464684,2429.959976043555
23,3176.343370001006,7438.560077088325,6388.69578292064,2514.667547249847
24,3238.2803743846134,7626.98359181881,6565.655791927093,2639.8455065193803
25,3293.6724536304164,7806.5478598192785,6726.478110638297,2789.355801452154
26,3331.991029812717,7962.7454605260755,6872.684046464377,2957.476978703163
27,3375.8393111657147,8123.727497473874,7021.4360683412815,3131.909131363285
28,3409.6004425780525,8267.50973625628,7155.724487467561,3278.815610000472
29,3450.0987770314723,8409.225499692871,7286.715931561149,3377.9526638588236
30,3478.5871685029365,8526.480357618744,7390.605318905902,3386.915208311158
31,3516.389231468214,8653.686081023887,7499.283931937211,3309.546689416539
32,3553.3549019947163,8761.792187822586,7584.010340279871,3155.3691311206853
33,3586.1116609928586,8858.259454959085,7660.614510894223,2922.1302895975505
34,3617.7637801093338,8949.256468639678,7721.5623296481535,2638.5590041435576
35,3658.1410214543953,9031.41289522341,7777.4748256716075,2347.413501503714
36,3695.969999927313,9097.825762881806,7815.007780607801,2050.2789960532264
37,3726.841276718496,9145.155064590723,7841.019523543492,1770.0795270313433
38,3757.442578808794,9179.206135950728,7854.025608394767,1512.3286519886974
39,3780.7150723404247,9198.159039629441,7852.749523474955,1282.0711602239858
40,3809.6926214791347,9208.836052228266,7841.99307944909,1085.1901525604135
41,3833.68041731648,9201.887464348476,7814.105414143554,923.8466396397004
42,3874.0099148408276,9193.428394218066,7776.191371358946,788.865917220469
43,3916.392434042553,9168.073378290255,7721.093132036672,678.9393884160927
44,3979.8286216105694,9138.687405848465,7658.605761361017,598.5117382688265
45,4050.322340425531,9094.249260126664,7570.691742209929,524.4591727819742
46,4159.645940476695,9037.821983392165,7476.746706132559,478.6615633876105
47,4281.844544885058,8958.925199999998,7356.145812916027,438.1423448729839
48,4440.301761739448,8866.565285611216,7224.124396307358,415.8333388488194
49,4634.942502040177,8745.686172029136,7049.223906410583,394.5923816737277
50,4858.082910555793,8597.672012057305,6861.959719356663,385.3487942639083
51,5092.326563292911,8436.476861127418,6657.791307165748,379.5364004691624
52,5341.899293462838,8246.89488104294,6428.9280509165,372.2436609288313
53,5647.566816984527,8016.7859174003715,6151.61131962119,372.0232104628067
54,5960.493268094517,7780.294381375188,5872.358757308809,369.04155541312025
55,6278.356083031693,7548.904109912354,5598.7652422357205,370.1083886257261
56,6609.297907818057,7328.239049161375,5330.871575148862,376.91118090956337
57,6956.937778717255,7099.3566774856445,5054.219795454368,377.8875167708681
58,7314.8696682687805,6874.694962757782,4780.293804163282,384.1819144928241
59,7663.041242628128,6662.413430751838,4525.087639206923,391.0212963624876
60,7997.084731718853,6461.199544436493,4285.69840884365,395.80765835423244
61,8337.40708080051,6245.355395556113,4033.3708086405486,402.1217612167395
62,8689.443370144441,6008.8681781352325,3766.7436767352688,403.1877708038578
63,9031.826119104462,5773.598885612109,3508.046067786527,412.132215304229
64,9400.375123465403,5499.194585658561,3216.5699990579374,422.64199214207173
65,9777.808978666551,5205.958467738726,2919.989590986687,435.73627339821167
66,10160.227373839452,4885.281752411621,2602.618544324074,447.84119929824703
67,10504.58805959835,4588.945711698932,2321.2287574468082,458.953253692544
68,10831.740255391403,4295.191793390571,2049.229480788471,468.58986717980304
69,11154.03681714183,3997.2918903235723,1777.2332433326474,483.7236705806027
70,11479.083038145016,3710.073344408258,1517.9828361256323,502.15394304528627
71,11778.549829561633,3446.182424823944,1285.7914253655913,522.8325558645668
72,12020.867974362913,3235.7516439729575,1100.5464911450686,540.5644954723372
73,12227.385430256449,3049.146330738308,939.4814165562673,555.1554435337515
74,12408.14939155191,2888.862661071414,804.0448618931747,577.5271696458142
75,12553.963378752433,2742.449693934944,685.1423785213826,605.9227543793163
76,12652.86735572563,2618.376459146168,590.2855009160402,629.9860721414833
77,12712.746123831652,2513.646763890897,518.9335928535846,659.964132747804
78,12739.146766072317,2411.7127394441222,461.66224285489,692.4214021236232
79,12727.644204249902,2313.5700724211088,416.23317993689125,725.0514178543333
80,12689.664611475957,2213.9152112495667,380.18412268497093,763.6517766306939
81,12622.928833992935,2101.700889075557,349.38758810294416,802.8277636448499
82,12545.386260982445,1991.5539088056755,330.79133883656095,849.5492755143399
83,12445.487034517957,1864.3295236856075,313.1171691749105,898.9654544680849
84,12338.846253283466,1736.3125790436416,302.1251717484794,953.4994285314842
85,12219.992374558802,1599.4277119456206,292.9478628284328,1012.2519926874138
86,12085.271647206602,1453.9657314825947,286.4394382451671,1076.8138691753284
87,11942.676944613577,1315.9467064503272,281.9394155856759,1144.4806265912175
88,11773.38862978723,1176.4135727243442,280.7874662453819,1219.189853617021
89,11587.955234068688,1050.6421464766959,278.3139011394446,1297.0778351068766
90,11360.329429678788,930.1395180208347,280.6841641191054,1384.9054775982177
91,11100.677795873373,822.6767020178952,277.67130113879114,1472.8532617013639
92,10797.835889443959,732.5068372645358,281.51340240675705,1575.8147525920444
93,10459.335651055591,655.9502385729393,282.064463411462,1678.8869260319802
94,10066.597458850549,593.6164750452848,286.77990159412064,1796.6391988940122
95,9634.022834042551,540.9713242478523,290.0395172778001,1919.7517244925964
96,9134.691600156526,496.8059322625678,294.38645343681185,2054.3756632250092
97,8590.655284927774,461.4874990453092,302.05472661380793,2202.4089141493073
98,8031.983055319852,432.96643106328804,307.2441831980503,2354.9850281292297
99,7417.193029328579,408.4481911926736,314.55775637547384,2527.4991473482205
100,6800.370817137246,388.2168181667376,320.61212952691676,2710.6287319879402
101,6142.347552380892,373.1334923983753,331.7392874168544,2924.804859738632
102,5484.586442485744,357.114022296146,341.7799073391392,3159.7646810432693
103,4868.326743528336,345.01074565732716,353.5936777964222,3408.3308662024333
104,4254.933472153674,337.18699969822524,368.7574316713915,3695.53856154882
105,3664.5045184395417,329.0486150545457,384.60892670823057,4017.4479575572996
106,3127.23839912744,319.5242010182059,398.8306335198352,4358.669642195881
107,2671.4199319662425,317.6070323474678,421.11572363747723,4714.999914823209
108,2248.5826213556984,311.334816859747,440.9441775185812,5101.817336407317
109,1887.447064823031,311.04791489361696,465.619972981865,5509.184068623421
110,1575.2055318289079,308.13965827529967,486.93367585183046,5927.455250304512
111,1309.234844877456,306.9434795829383,511.773930862844,6358.344484386977
112,1097.4271584788266,306.6535392097902,532.3572279469729,6762.177243414001
113,913.3375144648235,306.6052688766439,555.0089529540281,7181.181957973611
114,757.6866432418457,305.5801933042633,575.0351576501943,7589.869047975761
115,628.1328418382421,301.5053990534248,594.1499570034723,7982.6897028472085
116,523.6890935613147,299.45984327386935,613.1448317108362,8360.253780916244
117,442.6937594234665,302.6856509371144,633.6819461661132,8729.301500061247
118,373.99007478230584,303.6478763992488,653.67112457812,9095.843924577732
119,315.3213237828336,301.8847087160209,669.3127600340251,9458.85062346766
120,272.4860116841558,304.2183850564934,690.9946595279937,9836.149941314234
121,237.66342862100265,303.32807984160735,711.5823824035461,10238.011276597796
122,208.86379379043672,306.1212738866207,735.1579251503516,10684.466144387743
123,184.6408772448678,305.2313564972976,762.6251797202173,11194.981353191486
124,166.54247533521723,306.5500212079683,795.7133717063105,11775.825779288642
125,150.99455041115434,306.24033188754265,830.0630218601877,12435.28746508529
126,143.23096073652712,310.1797021205541,874.4569375280312,13196.648438887276
127,131.47122876750404,310.35288514936974,922.4139957446806,14068.041407060537
128,124.02093176467105,312.30264774461347,977.4135671401802,15023.709328236167
129,119.809503683206,317.43450315896536,1040.5310374468083,16151.080160859889
130,118.10953262122547,322.5583751800874,1110.1961263638043,17389.94527602041
131,115.39789517840967,325.56446614441217,1184.6009148428316,18721.834369235676
132,114.10227841063886,330.63096347344526,1261.7807130221634,20114.622229902885
133,114.10744326431586,337.1556157600697,1346.373348556303,21606.595763671015
134,113.72782964755255,343.54059864652976,1426.843101584012,23050.771708699853
135,116.31667645342974,352.7470329884222,1505.663234171616,24452.441783819144
136,116.56763985569248,360.414877238674,1578.5068597020918,25740.337164167002
137,116.54103304795075,363.0407023374461,1637.3951493642332,26853.83948919939
138,116.41733091991463,369.2903911967892,1690.4025959162389,27772.212738266608
139,120.24762623654392,377.8169907545792,1727.465490020633,28366.325868720156
140,120.69308410404426,384.6682567064158,1743.6036255124284,28605.65260104573
141,123.10414707986038,387.9826489526645,1736.2183915673531,28442.869326007938
142,121.77675808165986,393.64626098405876,1710.0126356607043,27868.505105405708
143,123.51383984491379,397.8014310955693,1663.9563834820453,26901.423576749123
144,121.33038872000229,395.07924638459923,1592.451345001523,25532.830979101607
145,121.00312069835091,398.31768470132687,1509.687241201796,23919.2847300815
146,120.29697687006882,396.46232108421657,1407.79436303919,22022.097752746828
147,114.60993432432979,391.0622340986048,1298.550540171167,20031.60294341801
148,111.26320619414098,385.48600074337094,1186.3502809556544,17987.63662963647
149,110.15127419180357,381.73195976778584,1071.4126869001868,15884.09366921812
150,104.24356607913819,371.40478507058566,961.0795914287784,13946.277266991294
151,98.57492670775193,361.08455916738933,855.5781264827548,12071.299379807497
152,95.48562957529916,353.99494711587846,765.82350876405,10439.862752916952
153,93.61455777860105,347.2080014414493,679.3577179813647,8898.851106618513
154,84.30750565004567,330.62670516159096,590.7891227590471,7516.719417057067
155,79.26320110355418,317.7982785080627,520.2335522875013,6343.885225262146
156,75.6181989943899,308.0389614299527,461.3173105856512,5322.628238297872
157,71.31702875056419,297.386645440679,408.8660453526161,4437.138453187688
158,66.03072105349602,285.68537617021275,362.66798823685724,3701.5192341329625
159,63.39695560345174,276.29981379377034,325.45548009618943,3084.391889279377
160,62.196811746025254,267.68666987141097,298.00302666269823,2589.5853774515253
161,58.82736104524771,259.5187733209304,269.80002622476746,2164.4007626771518
162,56.18904176901134,250.61707905819628,245.07726626535532,1811.34898785054
163,54.55404111086251,242.53139020373922,227.2862960782653,1522.3323779571758
164,55.269706949925684,241.26394347682526,217.08516758989808,1297.0063905107295
165,48.88786190712947,231.1365578157167,201.0811936316157,1098.0788731294926
166,48.016094706115645,226.32159342767937,187.74992383617686,934.4453511228502
167,49.30792412563437,224.85674101205183,185.0384170979592,807.8327513347132
168,46.89570038664854,221.14207783980672,176.15577957296088,698.9457547212373
169,45.02902130993581,217.4941222094928,169.07480937057943,606.3150393854007
170,45.52448808510621,215.54787551140183,163.47045204348981,531.8432781274068
171,50.038136993587585,218.20039626062498,164.79883916679267,477.12839565714705
172,48.04764594247938,216.7543835077583,164.5509578055085,426.90389811139573
173,44.020945351866,209.92251020725809,156.41035952082274,381.9636966195803
174,33.55860201012451,198.05405086468,140.71542416731637,333.4913614794501
175,22.856367813798062,182.4636764049007,126.93878341153751,291.48486162047305
176,22.022729212575076,177.9877866312651,118.06682307529432,262.9154951827601
177,7.516787693414295,164.16292319258648,101.11680987952572,230.75144198299887
178,9.686911632127442,161.6837589801135,97.39984358136095,210.1408304724814
179,18.296909078190787,174.88412151447073,109.68511371849209,209.16769340949742
180,23.19516296462932,184.03343530973137,115.14072532436475,211.5908661701368
181,29.70562661572193,192.60568735083012,121.10590218862724,213.70694461455008
182,33.32436540142965,198.36539052313384,127.42018004132258,212.59067435515271
183,39.369656691379724,204.90154952132664,134.67580854251128,209.31084919432908
184,40.15919670998296,208.04184818618347,138.8083714547133,205.49132675490523
185,44.973343405589475,209.53278366791199,140.23506903974422,198.72736408107076
186,40.37821105319646,206.00835811895527,140.46450368532163,192.52874162615586
187,42.886176331414944,206.82162454598836,142.59322191299296,188.28497737362673
188,44.82710765888262,208.1683274757906,147.09906105417377,187.3117324423735
189,47.76829360672189,208.44602789626816,149.1595483346927,184.91415083147112
190,43.47415135566836,204.94508396778838,145.16179921232649,179.34951697370192
191,43.958297310082344,203.55449844909933,146.06486785853014,180.18511832501852
192,48.60755643403923,208.26221078218876,152.30752857539426,185.04485859094362
193,46.91689171481868,207.90347461381464,151.1848776612004,180.00150964476853
194,47.53423411873502,206.46436320929297,151.04724339852459,177.46025921327583
195,42.74678809325272,201.70682271520582,146.47846759555287,172.94652990674803
196,45.12109600678758,204.66712320765075,148.97881360755588,174.98907265802174
197,43.34566707404359,201.25876162891853,145.84715241506314,173.49275566600085
198,45.065825857805656,202.477161276568,147.57290560272628,172.70721621783613
199,41.81268006035562,199.44750103114743,144.42041191617048,168.1654815663882
200,42.087279931915326,200.06713923666638,143.89608773145196,167.96767120493243
